player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
CJ Miles,2017,2593,1260,0.840594433,-0.4709408,0.369653634,-0.023384464,0.38805466,0.364670197,0.713860507,-0.315050283,0.398810224,2.009965765,2.010826198,-0.000860433,0.758141845,-0.778277788,-0.020135943,0.615653199
CJ Wilcox,2016,266.6666667,127.6666667,-3.632825735,-1.902157588,-5.534983323,-2.489859143,2.810489473,0.32063033,-3.638603468,-1.03699325,-4.675596718,-0.046796616,-0.053045363,0.006248747,-2.216858253,-2.451753072,-4.668611325,1.261979538
Cade Cunningham,2022,97,48,-10.88583013,-0.157794029,-11.04362416,-3.934198782,-7.35368378,-11.28788256,-10.52825208,-0.714339353,-11.24259143,-0.204162032,-0.204162032,0,-11.43243508,-3.229008958,-14.66144404,-1.870453652
Caleb Martin,2021,814.6666667,395.6666667,-1.515534447,1.529457003,0.013922556,-0.530950293,0.845890789,0.314940496,-1.632066116,1.525217185,-0.106848931,0.533073033,0.533073033,0,-2.06350513,0.861050744,-1.202454387,0.0390038
Caleb Swanigan,2019,471.6666667,221,-6.71240062,-0.104259304,-6.816659924,-4.894543891,1.037439548,-3.857104345,-6.770027267,0.138403668,-6.6316236,-0.429565422,-0.435121074,0.005555653,-6.992817134,0.083898563,-6.90891857,0.928484629
Cam Reddish,2021,1861,855.6666667,-1.490696261,0.9134581,-0.577238161,-4.524430892,1.112335824,-3.412095068,-1.735180105,0.834861839,-0.900318266,0.175664441,0.091764861,0.083899579,-1.290133686,0.633125943,-0.657007744,1.026209932
Cam Thomas,2022,34,17,-13.24652423,-8.035834114,-21.28235834,-27.6882184,-5.769251814,-33.45747021,-14.61456444,-8.068563696,-22.68312814,-0.1738003,-0.1738003,0,-8.696545133,-10.27757979,-18.97412492,0.537642156
Cameron Bairstow,2015.5,176.5,83.5,-4.908679413,-1.223453707,-6.13213312,-4.860869396,-0.921712064,-5.782581461,-5.214996905,-1.233268866,-6.448265771,-0.147698446,-0.147698446,0,-5.224026476,-1.99383118,-7.217857655,0.72037887
Cameron Johnson,2021,2281.666667,1087,-0.910631386,0.039159251,-0.871472136,-4.237597029,-0.375762169,-4.613359197,-1.326088586,0.018254323,-1.307834262,1.760365375,1.503552363,0.256813011,-1.629785847,-0.810972685,-2.440758532,-0.581447878
Cameron Oliver,2021,188,87,0.001702913,-4.310059193,-4.30835628,3.186199454,-3.972991761,-0.786792307,0.735094524,-4.428384758,-3.693290234,-0.041779079,-0.041779079,0,0.876715397,-2.711601191,-1.834885794,-0.219754022
Cameron Payne,2019,1257.571429,605,-0.455373752,0.407719029,-0.047654723,-0.52120705,2.709179628,2.187972579,-0.526638251,0.649155197,0.122516947,0.879762693,0.720312037,0.159450657,-0.333227071,-0.259075435,-0.592302506,-0.152632281
Cameron Reynolds,2020,317,149.5,-2.753666242,-1.691356452,-4.445022693,-6.86564299,-1.921054961,-8.786697948,-3.738843849,-1.794722959,-5.533566808,-0.01827157,-0.01827157,0,-2.67662278,-2.231830808,-4.908453587,-0.920114189
Caris LeVert,2019.5,2617.333333,1217.166667,0.495576959,-0.871802643,-0.376225683,0.103983388,0.423192594,0.527175981,0.417584326,-0.82769592,-0.410111594,1.827004928,1.723615718,0.103389211,0.718245617,-0.96737248,-0.249126862,0.51869715
Carl Landry,2015,1353,664.6666667,-0.419287785,-2.155097251,-2.574385035,-2.032212194,-2.457144007,-4.4893562,-0.743643423,-2.311527159,-3.055170583,-0.023089422,-0.023089422,0,-1.383846452,-2.564340472,-3.948186924,-0.530439909
Carlos Boozer,2014.5,3882.5,1977,-2.974307811,-1.355165924,-4.329473735,-2.301644479,-2.645511065,-4.947155544,-2.952151295,-1.706442589,-4.658593884,-2.135875183,-1.869600965,-0.266274217,-3.11881335,-1.389393026,-4.508206375,-0.017493224
Carmelo Anthony,2018,3701.333333,1844,1.516670247,-2.147896626,-0.631226379,2.192386425,-2.316519063,-0.124132639,1.662722623,-2.262750093,-0.600027471,2.299885208,2.358316523,-0.058431315,1.858476465,-2.562220434,-0.703743969,-0.629458837
Caron Butler,2015,2395.333333,1212.333333,-0.322646672,-2.567065498,-2.88971217,-4.3169656,-0.984718757,-5.301684357,-1.175033417,-2.37638623,-3.551419647,-0.176715463,0.027807641,-0.204523104,-1.256833362,-2.72350944,-3.980342802,-0.46798759
Carrick Felix,2014,83,38,-3.729021611,0.15706984,-3.571951771,3.006353847,4.411796079,7.418149926,-2.504439437,1.092228239,-1.412211198,0.026525337,0.026525337,0,-1.78638713,-1.613412531,-3.39979966,2.177506675
Carsen Edwards,2020.5,687.5,317.5,-1.679374386,-1.805501311,-3.484875697,-7.711282337,1.333206656,-6.378075681,-3.082696721,-1.284954566,-4.367651286,-0.278253487,-0.291946291,0.013692804,-2.613776027,-1.999903557,-4.613679583,0.400717315
Cartier Martin,2014.5,1095.5,541.5,-1.942376537,-1.849698424,-3.792074961,-2.273992881,2.18666893,-0.087323951,-2.132657976,-1.110055967,-3.242713942,0.206485906,0.18008285,0.026403057,-1.476355384,-1.91420423,-3.390559615,-0.366805497
Casper Ware,2014,244,116,0.949527271,3.296174056,4.245701327,2.110026628,3.745571961,5.855598588,1.330552308,3.648424129,4.978976436,0.459066742,0.459066742,0,0.685457559,3.005536443,3.690994002,0.344130222
Cassius Stanley,2021,200,93,-1.143469328,-5.573301774,-6.716771102,-8.560941916,13.85496179,5.294019873,-2.778053285,-1.853025564,-4.631078849,-0.088923092,-0.088923092,0,-3.142635492,-3.863046088,-7.00568158,-0.374997415
Cassius Winston,2021,219,103,-2.358316573,-9.947182045,-12.30549862,-9.37002299,-5.90400979,-15.27403278,-3.924982288,-9.685503233,-13.61048552,-0.558401885,-0.565654887,0.007253002,-3.201871926,-9.365704327,-12.56757625,-0.965726798
Cedi Osman,2020,2775.8,1343.8,-0.278698055,-1.437997865,-1.716695921,0.259899385,-3.127508209,-2.867608825,-0.165955829,-1.717725469,-1.883681299,0.111128559,0.094580401,0.016548158,-0.616692304,-1.870243346,-2.48693565,0.008254661
Chandler Hutchison,2020.5,964,448,-7.03455798,-1.92996911,-8.964527091,-1.759179445,5.929621163,4.170441718,-6.854027961,-1.41593604,-8.269964,-0.077071134,-0.040623026,-0.036448108,-6.652648035,-2.503729999,-9.156378034,0.645928748
Chandler Parsons,2017,2587,1281.571429,-0.92615916,-1.073010322,-1.999169482,-2.045328788,-1.899261847,-3.944590635,-1.202816237,-1.297417224,-2.500233462,2.062425449,2.024651893,0.037773557,-1.038488999,-1.465175488,-2.503664487,0.129819275
Channing Frye,2016.5,2753.833333,1367.833333,-0.13782517,-0.994803675,-1.132628845,0.901088075,-1.844983487,-0.943895412,0.058075686,-1.182375549,-1.124299864,2.257095194,2.011441477,0.245653717,0.526991159,-0.919829313,-0.392838154,-0.030534219
Charles Bassey,2022,16,7,9.185230685,-9.976285827,-0.791055142,7.633493806,-9.408006392,-1.774512586,9.221634723,-10.14245607,-0.92082135,0.006503683,0.006503683,0,8.820480466,-10.46958823,-1.649107764,-0.453004923
Charles Brown Jr.,2020,87,40,-0.60135991,2.171899636,1.570539725,2.436055185,20.25411732,22.69017251,0.139565507,6.211384516,6.350950023,0.189185564,0.189185564,0,0.142876319,1.825067967,1.967944286,1.898453146
Charles Cooke,2018,81,38,-7.013151631,3.008928597,-4.004223034,-10.94904641,6.150531658,-4.79851475,-8.297252011,3.817411749,-4.479840262,-0.033078558,-0.033078558,0,-7.31614029,0.678485045,-6.637655245,-1.35730378
Charlie Brown Jr.,2021,331,152,-3.904276847,-3.918370851,-7.822647698,-0.605939067,-0.600089765,-1.206028832,-3.322715802,-3.405797237,-6.728513038,-0.30889924,-0.30889924,0,-3.281418419,-3.115062896,-6.396481315,0.119116143
Charlie Villanueva,2015,1112,528.6666667,-1.415652967,-2.802835275,-4.218488242,-3.642102947,-2.624646603,-6.266749551,-1.977877731,-2.916378455,-4.894256186,-0.355961387,-0.332884929,-0.023076458,-0.919285062,-3.558575404,-4.477860466,0.718454069
Chase Budinger,2015,2020,988.6666667,-0.7716887,-0.974419413,-1.746108113,-1.039465501,-1.113349382,-2.152814883,-0.871076792,-1.044981745,-1.916058537,0.378047339,0.378047339,0,-1.279563052,-1.646561439,-2.926124491,0.222913792
Chasson Randle,2019.25,1019.25,479.75,-1.495886491,-2.430454486,-3.926340977,-1.658141349,-0.981015769,-2.639157118,-1.591591457,-2.241711609,-3.833303065,-0.437139807,-0.437139807,0,-1.544578931,-2.138267753,-3.682846684,-0.237832927
Chauncey Billups,2014,614,309,-3.169926559,-4.890396362,-8.060322921,-1.255644914,0.228305194,-1.02733972,-2.980523965,-4.095107362,-7.075631327,-0.682166779,-0.682166779,0,-1.2538376,-5.228164918,-6.482002517,0.031394933
Cheick Diallo,2018.5,1199,550.75,-2.049723346,-1.24462273,-3.294346076,-2.469713639,-2.654799262,-5.124512901,-2.250297973,-1.599046,-3.849343973,-0.147246746,-0.072341858,-0.074904888,-1.863089593,-1.473204742,-3.336294335,-0.021818384
Chimezie Metu,2020,531.3333333,246,-4.139895426,-1.692389047,-5.832284472,-5.477051627,-1.286041543,-6.76309317,-4.684187451,-1.641730655,-6.325918106,-0.395695,-0.395695,0,-3.865882362,-2.672279949,-6.53816231,0.372779987
Chinanu Onuaku,2017.5,80,38.5,-6.607797714,-2.743322981,-9.351120692,-10.44526133,-6.989746173,-17.4350075,-7.879205007,-3.780099004,-11.65930401,-0.148169564,-0.168526159,0.020356595,-6.052467039,-2.030817836,-8.083284875,1.09902362
Chris Andersen,2015.5,1656.75,860,-0.978269929,0.585667972,-0.392601957,-0.046151831,0.672282754,0.626130923,-0.874944877,0.658882629,-0.216062248,1.515364681,1.127259343,0.388105339,-0.483250139,-0.378320173,-0.861570312,-0.068561045
Chris Babb,2014,265,132,-1.903655493,-1.235118807,-3.1387743,-4.291510196,0.060711265,-4.230798931,-2.494689832,-1.008506352,-3.503196185,-0.050920866,-0.050920866,0,-2.615114673,-1.371317444,-3.986432117,0.370260966
Chris Bosh,2015,4202.333333,2183.666667,0.272492885,0.333867172,0.606360058,-0.555537257,0.82048203,0.264944772,0.1099114,0.455073387,0.564984786,3.817867221,3.333603868,0.484263353,0.808013599,0.330252191,1.138265791,-0.562328401
Chris Boucher,2020,1097.6,519.4,-6.080484999,-0.231860891,-6.312345889,-12.28307082,1.284733931,-10.99833689,-7.643690345,-0.177136436,-7.820826781,1.338013172,1.340146513,-0.002133341,-2.57379502,-0.361244894,-2.935039914,0.335384956
Chris Chiozza,2020.5,418.5,192.75,-1.018530184,-1.18705657,-2.205586753,-9.553355991,8.371138022,-1.182217968,-2.293112602,0.107509466,-2.185603136,0.333283851,0.324738903,0.008544948,-1.698136675,-1.238755934,-2.936892608,-0.42437086
Chris Clemons,2020,668,299,-0.301960705,-2.274834975,-2.57679568,-7.550900045,-1.01777385,-8.568673894,-1.846443729,-2.153922474,-4.000366203,-0.195841805,-0.211054095,0.01521229,-0.971502795,-2.893151754,-3.864654548,1.279536037
Chris Copeland,2015,880.6666667,443.6666667,-0.951689145,-5.270326782,-6.222015926,-1.569361843,-3.746347196,-5.315709038,-1.10548989,-5.286005515,-6.391495405,-0.472225462,-0.509040508,0.036815046,-1.113597112,-5.107769998,-6.221367111,0.424463974
Chris Douglas-Roberts,2014.5,1173.5,594.5,-1.362231071,-4.628444986,-5.990676057,-2.9448444,-1.168623459,-4.113467859,-1.720069229,-4.198860082,-5.918929312,0.296062616,0.313742214,-0.017679598,-2.234366117,-3.741292714,-5.975658831,-0.37012747
Chris Duarte,2022,590,279,0.025379288,0.111377625,0.136756912,2.480417074,2.870511441,5.350928515,0.21070919,0.324921334,0.535630523,0.466090719,0.466090719,0,2.644378572,2.328960596,4.973339168,-0.349643564
Chris Johnson,2015,1462.666667,724,-2.042941165,-0.171902895,-2.214844059,-0.473174615,1.612792845,1.139618231,-1.806794608,0.183873299,-1.622921309,0.371475251,0.371475251,0,-2.133245118,-0.431720446,-2.564965565,0.079460943
Chris Kaman,2015,1568.666667,771.6666667,-3.852174601,0.018191264,-3.833983337,-4.219915337,1.191646906,-3.028268431,-4.180290999,0.284515846,-3.895775153,0.141246382,0.271850408,-0.130604025,-2.952571079,-0.656248078,-3.608819157,0.542528608
